examId;userId;submitTime;pointsTotal;pointsEx1;pointsEx2;pointsEx3;pointsEx4;pointsEx5;pointsEx6;pointsEx7;pointsEx8;pointsEx9;pointsEx10;;
exam-99;@maxPoints;;10;1;1;1;1;1;1;1;1;1;1;;
exam-99;studcalc.1-1;2016-11-08T19:25:19;1;1;0;0;0;0;0;0;0;0;0;;10%
exam-99;studcalc.1-2;2016-11-08T19:32:57;5;1;1;0;0;1;1;1;0;0;0;;50%
exam-99;studcalc.1-3;2016-11-08T19:36:33;5;1;0;0;0;1;1;1;0;1;0;;50%
exam-99;studcalc.1-4;2016-11-08T19:39:16;1;0;0;0;0;0;1;0;0;0;0;;10%
exam-99;studcalc.1-5;2016-11-08T19:42:11;4;1;1;0;0;1;1;0;0;0;0;;40%
exam-99;studcalc.1-6;2016-11-08T19:45:49;5;1;1;0;0;1;1;0;0;1;0;;50%
exam-99;studcalc.1-7;2016-11-08T19:48:25;2;0;0;0;0;1;1;0;0;0;0;;20%
exam-99;studcalc.1-8;2016-11-08T19:51:19;2;0;0;0;0;1;1;0;0;0;0;;20%
exam-99;studcalc.1-9;2016-11-08T19:54:24;4;0;0;0;1;1;1;1;0;0;0;;40%
exam-99;studcalc.1-10;2016-11-08T19:59:07;0;0;0;0;0;0;0;0;0;0;0;;0%
exam-99;studcalc.1-11;2016-11-08T20:05:53;7;1;1;0;1;1;1;1;0;0;1;;70%
exam-99;studcalc.1-12;2016-11-08T20:10:05;7;1;1;0;1;1;1;1;0;0;1;;70%
exam-99;studcalc.1-13;2016-11-08T20:13:50;4;1;0;0;0;1;0;1;0;1;0;;40%
exam-99;studcalc.1-14;2016-11-08T20:20:10;7;1;1;0;1;1;1;1;0;1;0;;70%
exam-99;studcalc.1-15;2016-11-08T20:38:14;5;1;1;0;0;1;0;1;0;1;0;;50%
