examId;userId;submitTime;pointsTotal;pointsEx1;pointsEx2;pointsEx3;pointsEx4;pointsEx5;pointsEx6;pointsEx7;pointsEx8;pointsEx9;pointsEx10;;
exam-100;@maxPoints;;10;1;1;1;1;1;1;1;1;1;1;;
exam-100;stprecalc-1;2016-11-09T19:28:34;6;1;1;1;1;1;1;0;0;0;0;;60%
exam-100;stprecalc-2;2016-11-09T20:21:27;3;1;1;0;1;0;0;0;0;0;0;;30%
exam-100;stprecalc-3;2016-11-09T20:25:11;5;1;1;1;0;1;1;0;0;0;0;;50%
exam-100;stprecalc-4;2016-11-09T20:32:05;7;1;1;1;1;1;1;0;0;0;1;;70%
exam-100;stprecalc-5;2016-11-09T20:35:56;6;1;1;1;1;0;1;0;0;0;1;;60%
exam-100;stprecalc-6;2016-11-09T20:39:18;5;1;1;0;1;0;1;0;0;0;1;;50%
exam-100;stprecalc-7;2016-11-09T20:41:59;4;1;0;1;1;0;0;0;0;0;1;;40%
exam-100;stprecalc-8;2016-11-09T20:45:47;5;1;1;1;1;0;0;0;0;0;1;;50%
exam-100;stprecalc-9;2016-11-09T21:04:27;5;1;1;1;1;0;0;0;0;0;1;;50%
exam-100;stprecalc-10;2016-11-10T19:54:58;2;0;1;1;0;0;0;0;0;0;0;;20%
exam-100;stprecalc-11;2016-11-10T19:58:08;6;1;0;1;1;1;1;0;0;0;1;;60%
exam-100;stprecalc-12;2016-11-10T20:08:08;5;1;1;1;0;0;1;0;0;0;1;;50%
exam-100;stprecalc-13;2016-11-10T20:11:13;6;1;0;1;1;1;1;0;0;0;1;;60%
exam-100;stprecalc-14;2016-11-10T20:14:44;1;0;0;1;0;0;0;0;0;0;0;;10%
exam-100;stprecalc-15;2016-11-10T20:21:26;3;1;1;0;0;0;0;0;0;0;1;;30%
exam-100;stprecalc-16;2016-11-10T20:24:17;4;1;1;1;0;0;1;0;0;0;0;;40%
exam-100;stprecalc-17;2016-11-10T20:26:56;0;0;0;0;0;0;0;0;0;0;0;;0%
exam-100;stprecalc-18;2016-11-10T20:29:27;2;1;1;0;0;0;0;0;0;0;0;;20%
exam-100;stprecalc-19;2016-11-10T20:31:26;5;1;1;1;0;0;1;0;0;0;1;;50%
exam-100;stprecalc-20;2016-11-10T20:44:34;5;1;1;1;1;0;1;0;0;0;0;;50%
exam-100;stprecalc-21;2016-11-10T20:47:44;1;0;0;1;0;0;0;0;0;0;0;;10%
exam-100;stprecalc-22;2016-11-10T20:50:50;3;1;1;1;0;0;0;0;0;0;0;;30%
exam-100;stprecalc-24;2016-11-10T20:57:12;5;1;1;1;0;0;1;0;0;0;1;;50%
exam-100;stprecalc-25;2016-11-10T21:02:15;3;1;1;0;1;0;0;0;0;0;0;;30%
